scope,score_col,side,long_threshold,short_threshold,min_abs_pred_ret,validation_positive_fold_rate,validation_trades,validation_accuracy,validation_avg_gross_return,validation_avg_net_return,validation_compounded_return,validation_max_drawdown,validation_profit_factor
all_assets_pooled,score_raw,both,0.55,0.25,0.005,0.3333333333333333,254,0.47244094488188976,-0.0005060997729928404,-0.00190609977299284,-0.3314963854771258,-0.3669497426131729,0.6546666743099289
all_assets_pooled,score_raw,both,0.55,0.25,0.01,0.6666666666666666,51,0.49019607843137253,0.0015448871251030512,0.00014488712510305192,-0.010522530915870076,-0.07088966946462427,1.0289260077055233
all_assets_pooled,score_raw,both,0.55,0.2,0.0,0.0,878,0.4874715261958998,-0.00041480714848490845,-0.0018148071484849078,-0.49909952571701344,-0.5142256286564684,0.6355074130839279
all_assets_pooled,score_raw,both,0.55,0.2,0.001,0.0,725,0.4731034482758621,-0.0008387504054212342,-0.0022387504054212338,-0.5896568284435222,-0.592948958471798,0.5849546289997031
all_assets_pooled,score_raw,both,0.55,0.2,0.002,0.0,577,0.48180242634315423,-0.0007520213412666398,-0.0021520213412666396,-0.5323585657467578,-0.5494942918600565,0.5989378641849344
all_assets_pooled,score_raw,both,0.55,0.2,0.005,0.3333333333333333,254,0.47244094488188976,-0.0005060997729928404,-0.00190609977299284,-0.3314963854771258,-0.3669497426131729,0.6546666743099289
all_assets_pooled,score_raw,both,0.55,0.2,0.01,0.6666666666666666,51,0.49019607843137253,0.0015448871251030512,0.00014488712510305192,-0.010522530915870076,-0.07088966946462427,1.0289260077055233
all_assets_pooled,score_raw,both,0.6,0.45,0.0,0.0,1152,0.4965277777777778,-0.0004937184705382454,-0.0018937184705382453,-0.5235175531883369,-0.5424224215808812,0.622619519342438
all_assets_pooled,score_raw,both,0.6,0.45,0.001,0.0,911,0.4818880351262349,-0.0009471203359643593,-0.0023471203359643586,-0.650790998750765,-0.6576142306060964,0.5707993783423548
all_assets_pooled,score_raw,both,0.6,0.45,0.002,0.0,689,0.4862119013062409,-0.0009575528787761185,-0.002357552878776118,-0.6064928790278372,-0.6302716450082773,0.5766788387036663
all_assets_pooled,score_raw,both,0.6,0.45,0.005,0.3333333333333333,271,0.47601476014760147,-0.0005246893109339347,-0.001924689310933934,-0.3343889814090484,-0.36737394515037713,0.6536205193489749
all_assets_pooled,score_raw,both,0.6,0.45,0.01,0.6666666666666666,52,0.5,0.0019327724121010257,0.0005327724121010264,0.009578626737813734,-0.07088966946462427,1.108451009317542
all_assets_pooled,score_raw,both,0.6,0.4,0.0,0.0,1152,0.4965277777777778,-0.0004937184705382454,-0.0018937184705382453,-0.5235175531883369,-0.5424224215808812,0.622619519342438
all_assets_pooled,score_raw,both,0.6,0.4,0.001,0.0,911,0.4818880351262349,-0.0009471203359643593,-0.0023471203359643586,-0.650790998750765,-0.6576142306060964,0.5707993783423548
all_assets_pooled,score_raw,both,0.6,0.4,0.002,0.0,689,0.4862119013062409,-0.0009575528787761185,-0.002357552878776118,-0.6064928790278372,-0.6302716450082773,0.5766788387036663
all_assets_pooled,score_raw,both,0.6,0.4,0.005,0.3333333333333333,271,0.47601476014760147,-0.0005246893109339347,-0.001924689310933934,-0.3343889814090484,-0.36737394515037713,0.6536205193489749
all_assets_pooled,score_raw,both,0.6,0.4,0.01,0.6666666666666666,52,0.5,0.0019327724121010257,0.0005327724121010264,0.009578626737813734,-0.07088966946462427,1.108451009317542
all_assets_pooled,score_raw,both,0.6,0.35,0.0,0.0,878,0.4874715261958998,-0.00041480714848490845,-0.0018148071484849078,-0.49909952571701344,-0.5142256286564684,0.6355074130839279
all_assets_pooled,score_raw,both,0.6,0.35,0.001,0.0,725,0.4731034482758621,-0.0008387504054212342,-0.0022387504054212338,-0.5896568284435222,-0.592948958471798,0.5849546289997031
all_assets_pooled,score_raw,both,0.6,0.35,0.002,0.0,577,0.48180242634315423,-0.0007520213412666398,-0.0021520213412666396,-0.5323585657467578,-0.5494942918600565,0.5989378641849344
all_assets_pooled,score_raw,both,0.6,0.35,0.005,0.3333333333333333,254,0.47244094488188976,-0.0005060997729928404,-0.00190609977299284,-0.3314963854771258,-0.3669497426131729,0.6546666743099289
all_assets_pooled,score_raw,both,0.6,0.35,0.01,0.6666666666666666,51,0.49019607843137253,0.0015448871251030512,0.00014488712510305192,-0.010522530915870076,-0.07088966946462427,1.0289260077055233
all_assets_pooled,score_raw,both,0.6,0.3,0.0,0.0,878,0.4874715261958998,-0.00041480714848490845,-0.0018148071484849078,-0.49909952571701344,-0.5142256286564684,0.6355074130839279
all_assets_pooled,score_raw,both,0.6,0.3,0.001,0.0,725,0.4731034482758621,-0.0008387504054212342,-0.0022387504054212338,-0.5896568284435222,-0.592948958471798,0.5849546289997031
