asset,score_col,side,long_threshold,short_threshold,min_abs_pred_ret,train_trades,train_accuracy,train_avg_directional_edge,train_avg_original_net_return,validation_trades,validation_accuracy,validation_avg_directional_edge,validation_avg_original_net_return,test_trades,test_accuracy,test_avg_directional_edge,test_avg_original_net_return
btc_5m,score_raw,both,0.6,0.3,0.005,92,0.5108695652173914,6.421373731779394e-05,-0.0013357862626821955,17,0.47058823529411764,-0.0009780657305702564,-0.002378065730570236,5,0.4,-0.0009433400343680897,-0.00234334003436806
btc_5m,score_raw,both,0.6,0.3,0.01,11,0.5454545454545454,0.0006910128902124905,-0.0007089871097874915,2,0.5,-0.0013386041238865332,-0.00273860412388645,0,0.0,0.0,0.0
btc_5m,score_raw,both,0.6,0.25,0.0,417,0.486810551558753,-0.0005718002080337972,-0.001971800208033785,139,0.5179856115107914,0.0005259791643480329,-0.0008740208356519597,125,0.536,0.0005887845779631551,-0.0008112154220368328
btc_5m,score_raw,both,0.6,0.25,0.001,326,0.4938650306748466,-0.00029471160465173083,-0.0016947116046517215,101,0.5148514851485149,0.0007140544958434705,-0.0006859455041565207,84,0.5,0.0003901830585660386,-0.0010098169414339477
btc_5m,score_raw,both,0.6,0.25,0.002,233,0.47639484978540775,-0.0003407282772161458,-0.0017407282772161354,73,0.5068493150684932,0.00019717609833580355,-0.0012028239016641834,46,0.5217391304347826,0.0002820773720012452,-0.0011179226279987456
btc_5m,score_raw,both,0.6,0.25,0.005,92,0.5108695652173914,6.421373731779394e-05,-0.0013357862626821955,17,0.47058823529411764,-0.0009780657305702564,-0.002378065730570236,5,0.4,-0.0009433400343680897,-0.00234334003436806
btc_5m,score_raw,both,0.6,0.25,0.01,11,0.5454545454545454,0.0006910128902124905,-0.0007089871097874915,2,0.5,-0.0013386041238865332,-0.00273860412388645,0,0.0,0.0,0.0
btc_5m,score_raw,both,0.6,0.2,0.0,417,0.486810551558753,-0.0005718002080337972,-0.001971800208033785,139,0.5179856115107914,0.0005259791643480329,-0.0008740208356519597,125,0.536,0.0005887845779631551,-0.0008112154220368328
btc_5m,score_raw,both,0.6,0.2,0.001,326,0.4938650306748466,-0.00029471160465173083,-0.0016947116046517215,101,0.5148514851485149,0.0007140544958434705,-0.0006859455041565207,84,0.5,0.0003901830585660386,-0.0010098169414339477
btc_5m,score_raw,both,0.6,0.2,0.002,233,0.47639484978540775,-0.0003407282772161458,-0.0017407282772161354,73,0.5068493150684932,0.00019717609833580355,-0.0012028239016641834,46,0.5217391304347826,0.0002820773720012452,-0.0011179226279987456
btc_5m,score_raw,both,0.6,0.2,0.005,92,0.5108695652173914,6.421373731779394e-05,-0.0013357862626821955,17,0.47058823529411764,-0.0009780657305702564,-0.002378065730570236,5,0.4,-0.0009433400343680897,-0.00234334003436806
btc_5m,score_raw,both,0.6,0.2,0.01,11,0.5454545454545454,0.0006910128902124905,-0.0007089871097874915,2,0.5,-0.0013386041238865332,-0.00273860412388645,0,0.0,0.0,0.0
btc_5m,score_raw,both,0.6,0.15,0.0,316,0.48417721518987344,-0.0007120585381929915,-0.002112058538192978,91,0.5824175824175825,0.0010497857240221503,-0.00035021427597784415,95,0.5368421052631579,0.000833261698164405,-0.0005667383018355831
btc_5m,score_raw,both,0.6,0.15,0.001,238,0.4957983193277311,-0.00040817805642085576,-0.001808178056420845,62,0.5806451612903226,0.0014504241583150872,5.0424158315096605e-05,61,0.47540983606557374,0.00041396765829064015,-0.000986032341709346
btc_5m,score_raw,both,0.6,0.15,0.002,167,0.47904191616766467,-0.0004391308160567373,-0.0018391308160567255,42,0.5952380952380952,0.0012931872916085176,-0.00010681270839146911,34,0.5294117647058824,0.00032043387627995286,-0.0010795661237200382
